22.07.2014 05:12:25: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587464 2:6282 HMMWVWreck
22.07.2014 05:12:25: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:12:26: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:51 z_villager2
22.07.2014 05:12:29: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:30 z_hunter
22.07.2014 05:12:33: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [51.0999,43.8389] 4:22 Survivor2_DZ
22.07.2014 05:12:44: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 0 4:22 Survivor2_DZ
22.07.2014 05:12:48: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:35 z_soldier_pilot
22.07.2014 05:13:06: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "weaponmodinventory" = ["Desert Paint"] 4:22 Survivor2_DZ
22.07.2014 05:13:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [57.6699,49.2639] 4:22 Survivor2_DZ
22.07.2014 05:13:09: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:13:36: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:13:40: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [64.5899,55.0972] 4:22 Survivor2_DZ
22.07.2014 05:13:54: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:14:00: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587468 2:6286 UAZWreck
22.07.2014 05:14:03: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:14:11: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:14:13: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [76.5599,66.8222] 4:22 Survivor2_DZ
22.07.2014 05:14:47: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [81.6799,70.5555] 4:22 Survivor2_DZ
22.07.2014 05:14:59: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.58747 2:6285 UralWreck
22.07.2014 05:14:59: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.58747 2:6285 UralWreck
